s1,cluster_result
.,5
.,5
. ,5
각자가 수행하고있는 업무에 대한 확실한 숙지와 수요자에 대한 홍보 방법에 대한 교육훈련 및 지원 필요,7
직원들의 업무 부담이 최소화 될 수 있는 플랫폼 설계 필요,4
"직원 업무에 필요한 정보와 자료에 대한 설문 이후 
이에 대한 교육훈련과 지원이 필요함",5
"1. 일단 내 업무 관련 고객이 누구인지 명확히 정의해 줄 필요. 내가 임의적으로 소통대상 고객들을 설정하기 부담스러움.
2. 고객이 정해지면 고객 특성별 맞춤형으로 어떤 소통 플랫폼이 효과적인지 컨설팅 해주면 좋겠음. 내 고객이 20대면 인스타 등 SNS 홍보가 적절할 거 같고, 노인층이면 솔직히SNS 홍보는 소용없을 거 같음. 이처럼 고객 타겟별로 어떤 소통방법이 효과적일지 컨설팅 지원 필요
",8
교육훈련이 또 필요할까요? ,8
업무연찬회 등으로 공유,1
정책소통플랫폼 전담 인력 확보,6
"1. 정책소통방법 교육훈련
2. 블로그 등 SNS 운영방법 교육훈련",7
"정책소통플랫폼 모듈 구축하고 그것이 이용, 운영, 활용하는 교육훈련",6
"1. 효과적인 홍보방안에 관한 교육훈련
2. (특히 사업부서의 경우) 장기적으로 부서별로 특화된 소통담당직원 지원이 있다면 좋지 않을지?
",5
직무수행에 대한 전문성 함양(잦은 인사이동과 업무경험 및 역량을 무시한 인사제도 개선),7
"플랫폼 활용이 귀찮고 힘든 일이 되지 않게 홍보관련 직원 인센티브를 적극 제공하고
교육훈련은 실제 활용사례와 유용성을 간부교육훈련때 활용 ",5
소통에 적극적으로 임하는 자세,1
.,5
직급별로 승진자 교육훈련과정에 정책소통과 관련한 교육훈련과정 반영,1
정책소통플랫폼을 통해 드러난 현장문제 해결에 적극적으로 나설 수 있도록 부서 및 상사의 적극적인 지원 및 협조 ,3
정책과 고객의 소통문제,1
정책 기획과 홍보 과정,4
플랫폼을 전담 모니터링하는 직원을 지정 운영이 필요,6
.,5
"우선 정책(업무)에 대한 이해, 업무 추진 마인드 향상",7
#NAME?,9
보고를 위한 보고가 직원들의 업무를 가중 시키듯이 정책소통플랫폼만을 위한 일로 직원들의 업무부담을 가중시키지 않도록 플랫폼 설계시 면밀한 검토 필요,0
"모여서 토론 위주 보다는 벤치마킹과 교육훈련을 병행 필요, 적극적인 예산 지원 등",3
"직원에 대한 교육훈련이 필요한 것이 아니라 업무유형이 자연스럽게 변화되어가면 가능하지 않을까요
",8
인간관리 및 소통관련 교육훈련,7
ㅇ ,5
공통플랫폼을 구축 할 시 분류를 선택할 필요 없이 자유롭게 참여할 수 있는 인터페이스 필요. 내용에 따른 업무 구분 등은 AI나 관련 단어를 통한 업무 배정,8
"도민과의 소통방법과 갈등해소 기법 사전 교육훈련이 필요하고, 민간부문의 전문교육훈련 인사인사교류가 필요함",8
"SNS 콘텐츠 제작, 홍보마케팅 기법 등의 교육훈련과 담당별(또는 개인별) 테블릿PC 등 모바일 기기의 지원이 필요하다고 생각됩니다.",5
직원들이 공감하고 정말 필요하다고 생각하는 정책 설정 필요,4
"도민이 많이 사용하는 SNS에 대한 사용법, 눈높이 홍보방법 교육훈련",1
