s1,s2,s3,s4,s5,s6,내용
.,.,"나의 지난 일들을 되돌아보고, 향후 더욱 보완할 수 있는 시간이 되었음","성과 설정시 담당자와의 충분한 교감 및 논의를 통한 성과목표 설정필요, 면담시 업무에 대한 질책이나 추궁이 아닌 함께 해결할수 있는 방향에 대한 코칭을 하는 방식으로 면담방식 개선이 필요",.,.,.
.,"상부로부터의 지시에 따른 현안 업무 처리로 도민이 체감할 수 있는 정책을 만들기 위한 시간 부족(업무피로도, 업무 고민에 대한 시간 부족 등)",부서장이 업무에 대해 함께 고민해주고 방향을 제시해주어서 좋았음  ,평소에 자연스럽게 업무관련 애로를 부서장과 얘기할 수 있는 문화 만들기 필요. 평소에 커피타임에 잡담하지 말고 업무관련해서 어떻게 하면 더 잘할 건지 이런 얘기하면 좋겠음. 지금은 인사과에서 성과면담하라고 쪼으면 갑자기 부서원들에게 할당하듯이 부서장과 면담잡고 이런 분위기임. 부담스럽고 형식적인 얘기만 하게 됨. 성과면담 체크리스트도 꼭 그런거 다 물어봐야 하는지 의문임. 부서장에게 너무 개인 사생활정보 말해야 하는 체크리스트라고 생각.  ,업무가로채기가 없으면 좋겠음. ,고시출신이면 인성과 무관하게 우대받는 조직문화. ,인사는 현재 연공서열이 가장 옳다고 봄. 그리고 세 개씩 답변하게 해서 객관식 문항 전부가 문제인거처럼 인식됨. 
. ,. ,.,"직원이 더 열심히 일을 잘 할 수 있도록 격려하고 어려운 점을 지원해주는 방향으로 운영되도록 해야 함
(지금은 무슨 일을 했는지를 물어보는 내용이 중심임)",성과 관리에 실질적으로 도움을 줄수있는 간부공무원의 코칭기술 등의 교육훈련이 먼저 선행되어야할것임,"근평라는것 자체가 사람이 하는것인지라 모두를 만족시킬수는 없겠으나 다수가 인정할수 있는 근평이나 전보가 되기위해선 공개가 필요하다고 생각됩니다. 현재, 인사관련 정보등은 아무정보도 공개되지않으므로 그에대한 불만이 많은것같습니다. 다수가 납득할수 있는 기준을 공개해준다면 좋겠습니다.","본인의 역량이 높은 분야는 어딘지에 대한 조사 및 분석을 통해 적소적재적재의 전보가 가능할것같습니다. 특히, 행정직의 경우, 전혀다른 성격의 업무를 접하게되는데 개인의 성향과 역량에 따라 더 많은 성과를 낼수 있는 분야가 있을거라생각합니다. 그러한 점도 고려하여 전보해주면 좋을것같습니다."
각자가 수행하고있는 업무에 대한 확실한 숙지와 수요자에 대한 홍보 방법에 대한 교육훈련 및 지원 필요,모든 업무에 고객 소통 플랫폼 만드는 게 답은 아니라고 생각함. 내부관리 등 업무성격에 따라서는 필요없을 수 있다고 생각함. 앞으로 모든 실과에 소통플랫폼 만들라고 할까봐 걱정됨. 도민의견수렴도 중요하지만 모든 실과에 부담이 되는 방식은 지양해주면 좋겠음.,자신이 무엇에 대한 성과를 이루었는지 다시 한번 생각하게 함,부서장이 부서 전반에 대한 업무는 이해하고 있을지 모르지만 세세한 내용까지는 모르는 상황에서 성과에 대한 짧은 면담으로 업무를 근평하는것은 한계가 있음.,"성과근평 어차피 할거면서 자꾸 성과관리와 근평이 다르다고 말하는 게 뭔지 모르겠음. 법령 상 어쩔 수 없이 성과근평을 해야한다면, 성과관리가 별도라고 말하지 말고 성과관리와 성과근평을 물흐르듯이 연계시켜놓아야 함. 공무원은 어쨌든 공식적 제도에 따라갈 수 밖에 없기 때문에 성과근평이 있는 이상 성과관리는 성과근평의 일환으로 되어야지 별도인 것처럼 하면 업무만 2배된다고 생각함. ",근평제도의 성과관리와 연계성 부족,내게 적용되는 인사제도는 무엇이 있는지 리스트 좀 알고 싶음. 오늘 이 설문을 하면서 새롭게 알게 된 제도도 있음. 그만큼 우리 도는 인사제도 등에 변화가 생겨도 안 알려줌. 비공개 때문에 불신이 커지는 것임. 인사 관련 제도 변경있으면 공개 잘하고 어떤 점을 왜 수정한 건지 잘 설명해주면 좋겠음.
직원들의 업무 부담이 최소화 될 수 있는 플랫폼 설계 필요,"체감의 수준이 주관적임. 
",자연스러운 대화가 되는 것이 좋음,.,"일부 변화가 있지만, 옛스러움을 고집하는 분도 많음. 지시사항 위주로 많은게 진행됨. 어려움. 
업무과정의 역량을 지원하는 활동을 받지 못하는 경우가 많음. 즉, 성과관리 취지, 목적달성이 제대로 되지않는 것 같음","전보와 전보·전보·보직에 있어 공무원도 전문성에 대한 고려가 되어야하나
지금은 어떻 인맥 등이 좌우하는 것으로 판단됨","인사를 함에 있어 원칙,기준을 지켜서 추진하기 어려움이 있음을 알고 있음. 하지만, 이것이 최대한 지켜질수 있도록 노력은 되어야 함. 
또한, 양자간, 혹은 삼자간 자리바꾸기 형태의 인사판은 나오지 않았음 함. (그러면 너무 그냥 성의없이 인사한 것 같아보임)"
"직원 업무에 필요한 정보와 자료에 대한 설문 이후 
이에 대한 교육훈련과 지원이 필요함",도민이 제시하는 의견등을 적극적으로 수용할 수 있는 제도 마련,상호 소통할수 있다,성과계획 작성이 구체적이지 않아 성과면담시 도움이 되지않음,부서장이 직원들에게 성과를 잘 낼 수 있도록 지원하는 리더십을 함양하도록 교육훈련하는 것,#NAME?,완벽한 인사관리는 없을 것이고 공직사회에서 지속적으로 보완하여 추진하고 있는 현행 인사제도이므로 완전히 새로운 제도를 도입함으로써 선의의 피해자가 생기지 않도록 고려하여 추진할 필요가 있음.
"1. 일단 내 업무 관련 고객이 누구인지 명확히 정의해 줄 필요. 내가 임의적으로 소통대상 고객들을 설정하기 부담스러움.
2. 고객이 정해지면 고객 특성별 맞춤형으로 어떤 소통 플랫폼이 효과적인지 컨설팅 해주면 좋겠음. 내 고객이 20대면 인스타 등 SNS 홍보가 적절할 거 같고, 노인층이면 솔직히SNS 홍보는 소용없을 거 같음. 이처럼 고객 타겟별로 어떤 소통방법이 효과적일지 컨설팅 지원 필요
",도민 또는 관련 단체와의 정례적인 소통채널 운영,소통활로 확보,.,"장기과제와 단기과제로 나누어 성과관리 필요, 도민이 체감하는 성과도출은 단기간내에 어려움. 이를 보완하기 위한 과정상의 단기과제의 성과로 측정하고 일정기간 경과후 최종 목표하는 성과 달성하는 체계도 필요함   ","전보와 관련하여서는 일관성이 부족함. 나는 안되고 너는 되고.. 이런 느낌이 많음.
개인의 절박함보다는 외부 압박으로 전보가 이루어지는 게 다반사임","고생이 많으십니다. 방향을 어떻게 잡는지와 무관하게 많은 구성원들로부터 큰 비난을 듣는다는 점에서 인사관리는 교육훈련정책과 굉장히 유사한 성격을 가지고 있다고 생각합니다. 어떤 정책이든 승자와 패자는 존재하지만, 위 두 사안은 패자들이 타 정책에 비해 상대적으로 더 많이 나오는데서 그런 것이 아닐까 생각해봅니다.
최대한 승자독식이 되지 않고 패자가 배려 받을 수 있도록 정책을 설계해주셨으면 합니다. 물론 불가능에 가깝다는 점은 알고 있으나, 인사관리의 지향점은 거기에 있어야 되지 않나 생각합니다.
두서없는 글 읽어주셔서 감사합니다."
교육훈련이 또 필요할까요? ,원론적인 논쟁이나 토론이 보다는 도민이 체감할 수 있는 시책과 정책을 발굴하여 신속히 시행함이 성과도출이 됨,자신의 업무추진 보완의 기회가 됨 ,성과 자체를 정량적으로 근평하기가 쉽지 않고 직원들 개인의 업무에 대해서는 면담등을 통한 소통이 필요할 것 같음,현재 도정은 성과관리가 어떻게 운영되어야 하는지에 대한 고민 보다는 '어떻게 보여지는지'에 대해 더 고민하고 있는 것으로 보임. 소위 이쁘게 꾸미는 것에만 관심을 두고 내실을 어떻게 다질지에 대한 고민은 소홀한 것이 아닌지에 대한 반성이 필요하다고 생각함. 단적인 예로 성과지표의 경우 정책 대상자인 도민도 중요하지만 정책을 수행하는 '담당자의 의견'이 가장 중요하지 않을까? 현재 성과지표는 어떻게 하면 윗분들이나 정보가 별로 없는 도민이 보기에 그럴듯해 보일까를 고민하고 있는 것으로 밖에 안보임.,개인별 역량에 따른 근평,"현재의 인사관리는 공개보다는 비공개가 많은 상황으로 인사부서 및 담당자에 의한 장난(?)이 가능한 상황이라고 생각함.
공개평정으로 개인별 약점 및 강점을 인식하게하고 성과를 기초로하는 근평제도 정착이 필요함. 이렇게 해야만 일부에게 남아있는 연공서열이나 자리에 의한 평정 및 승진에 대한 망상을 깨트릴 수 있음.
또한, 승진관련해서는 대상권에 포함되는 인원은 개인별 여러 근평요소에 대한 결과를 그룹화하여 구간별 위치 등으로 수치화(객관화) 및 최소의 비공개 사항을 제외한 최대한의 정보를 대상자에게 공개하여 사후 결과에 대해 승복할 수 있는 여건을 보장해야함. 승진결과도 기관장 결재이전까지는 공개되지 못하도록 대책이 강구되어하며, 승진자 발표시 심사위원과 심사평 등을 동시에 공개하여 위원들이 공정하고 객관적으로 심사를 할 수 있도록 보장하고 비선자들이 다음 승진을 위해 어떤 부족한 점을 보완소요에 대한 방향설정이 가능하도록 제도적인 보완이 필요함."
업무연찬회 등으로 공유,"도민이 '체감'하려면 도정이 '무엇'을 하고 있는지 도민이 알고 있어야 한다는 전제가 필요
통상적인 홍보수단인 보도자료 뿐만 아니라 새롭게 떠오르는 플랫폼을 활용한 적극적인 홍보도 중요하다고 생각함(ex. 유튜브)

현재 경남도 유튜브 채널이 있는 것으로 알고 있는데, 이 채널에 도정 테마별(산업, 경제, 문화 등)로 알기 쉽게 정책을 설명하고, 정책이 적용된 예를 소개하는 동영상을 '재미있게' 만들어보는건 어떨지?

","성과면담제도를 통해 부서장과 현재 자신이 맡은 업무의 진행상황, 업무 수행에 있어서 애로사항 등을 다소 허심탄회하게 이야기할 수 있었음. 딱딱한 조직분위기나 문화 속에서 이런 제도가 시행된 점 자체에 높은 점수를 주고 싶음. ",형식적인 성과면담 보다는 각 개인별 적정한 업무분장이 더 필요하다고 생각됨,개인 및 부서 근평은 연계성이 확보되지 않으면 업무추진의 추동력이 현저히 떨어질 수 있음. 하지만 현행 성과관리제도는 연봉제 등과 연계되는 한계로 성과를 결정하고 추진계획을 수립하는 기형적인 모습으로 남아있음.,선호부서·보직은 인맥 또는 한번 갔던 사람만 가는 연공서열,많은 노력을 하는 것은 돋보이나 홍보를 많이 했으면 좋겠습니다.
정책소통플랫폼 전담 인력 확보,"성과위주 업무 추진은 필요성은 공감하지만 일반 사기업체의 이익창출과정처럼 성과에 급급한 추진은 지양되어야함.
행정기관과 공무원은 법과 규정의 테두리 안에서 업무를 수행하며, 그 결과에 대해 권한과 책임을 수반함. 따라서 이러한 제도적 한계를 미고려한 성과위주의 업무처리가 최선의 선택은 아니라고 봄.","부서장이 직접 성과면담을 한 사례는 도청 근무 20년 동안 처음 있었던 일이며
상담내용이 성과근평에 일부 반영 됨을 느꼈을 때 매우 좋았음",부서장의 적극성 부족 및 마인드 의식 필요,"제로베이스에 시작하는 성과관리도 필요하다고 생각됩니다.

법정 업무를 성과관리 한다는 건 다소 무리가 있으니

그 중에서 개선할 부분을 더 찾으면 좋겠습니다.","자신의 성과에 대한 공정·공평 보상을 받고 조직을 신뢰할 수 있는 성과급 근평제도로 바뀌어야 함.
성과급의 의미없는 등급구분을 4개에서 3개(탁월, 보통, 미흡)로 완화하고,
근평결과는 등급이 아니라 자신이 성과를 더 잘 내기 위해 어떻게 일을 해야하는지를 알려주는 피드백이 있어야 함
",.
"1. 정책소통방법 교육훈련
2. 블로그 등 SNS 운영방법 교육훈련","도민이 원하는건 너무나 다양하고 관공서에 관심이 없기 때문에

큰 이슈 위주로 유튜브 채널을 활용햇으면 합니다.

뻥뻥 터지는 정책은 도지사남의 힘이 필요합니다","개인의 업무처리상 고민, 고충 등의 상담으로 업무처리 원활","성과 면담은 불필요합니다.
직원이 계획해둔 업무를 추진하다 곤란한 사항에 처해지면 그때그때 부서장과 의논하여 좋은 귀결점을 찾으면 된다고 생각합니다.
성과 면담이라는 명시적인 항목은 또 하나의 불필요한 업무로 자리매김 하는듯 합니다만....",.,"열심히 조직을 위해 일하고 성과를 낸 사람이 먼저 승진한다고 느낄 수 있는 인사
",민간과 원활한 소통을 할 수 있는 민간 교육훈련지원체계 마련
"정책소통플랫폼 모듈 구축하고 그것이 이용, 운영, 활용하는 교육훈련",.,업무 추진상의 애로사항 공유 및 해결방안 마련의 계기,"ㅇ 성과면담제도 불표요함

ㅇ 인사관리시스템 개선이 필요",성과관의활성화 도모,"상시학습 등 자기개발을 위한 교육훈련훈련을 직원 입장에서 활용할 여유가 없는 것이 현실임. 전문성이 점점 중요해지고 있는 공직사회에서 인사운영은 여전히 순환전보·보직으로 이루어지고 있으므로 교육훈련훈련의 방향성을 한번 고민해보는 것은 어떨지?

절대적인 교육훈련훈련시간의 확보를 위한 직무분석 선행(기피·격무부서에 직원을 더 전보·전보·보직하여 다소 업무에 여유를 가질 수 있도록 배려)
교육훈련훈련 방향 : 현재 자신이 수행하고 있는 전보·보직과 관련한 지식을 습득할 수 있도록 교육훈련훈련 편성
현행 교육훈련훈련 의무시간 편성(ex. 성평등 교육훈련 의무 등)은 그렇게 큰 의미가 있다고 보여지지 않음. 매년 같은 내용을 들을 뿐임.",전보시 기준을 반영한 인사를 시행하여 직원간 불신을 제거
